ts,old_speed,new_speed,new_is_stale,new_is_stat
1773243628000,49.65,40.90,false,false
1773243631000,45.08,44.56,false,false
1773243633000,45.08,44.56,true,false
1773243636000,24.94,41.12,false,false
1773243641000,32.55,36.61,false,false
1773243643000,32.55,36.61,true,false
1773243647000,33.68,36.14,false,false
1773243649000,42.38,37.01,false,false
1773243653000,42.38,37.01,true,false
1773243655000,0.67,37.01,true,false
1773243658000,31.02,34.66,false,false
1773243661000,28.33,34.21,false,false
1773243663000,28.33,34.21,true,false
1773243666000,35.04,34.30,false,false
1773243672000,39.75,33.25,false,false
1773243676000,40.34,32.58,false,false
1773243678000,40.34,32.58,true,false
1773243681000,43.23,35.17,false,false
1773243684000,43.23,35.17,true,false
1773243687000,34.92,36.12,false,false
1773243689000,34.92,36.12,true,false
1773243692000,21.47,34.82,false,false
1773243694000,21.47,34.82,true,false
1773243698000,11.03,25.79,false,false
1773243704000,18.50,24.76,false,false
1773243707000,18.50,24.76,true,false
1773243713000,11.37,19.46,false,false
1773243717000,11.37,19.46,true,false
1773243719000,0.00,19.46,true,false
1773243726000,9.82,17.11,false,false
1773243730000,9.82,17.11,true,false
1773243732000,18.12,17.03,false,false
1773243734000,20.25,17.03,true,false
1773243736000,31.44,18.80,false,false
1773243742000,13.21,14.63,false,false
1773243747000,15.97,15.04,false,false
1773243750000,15.97,15.04,true,false
1773243756000,26.16,18.71,false,false
1773243759000,26.16,18.71,true,false
1773243765000,26.74,20.23,false,false
1773243767000,35.31,22.79,false,false
1773243770000,35.31,22.79,true,false
1773243776000,25.57,24.91,false,false
1773243787000,25.57,24.91,true,false
1773243793000,0.00,16.50,false,false
1773243795000,10.47,16.52,false,false
1773243799000,12.68,16.19,false,false
1773243802000,12.68,16.19,true,false
1773243810000,14.74,13.92,false,false
1773243812000,14.74,13.92,true,false
1773243814000,24.93,13.41,false,false
1773243817000,24.93,13.41,true,false
1773243820000,35.10,17.50,false,false
1773243822000,35.10,17.50,true,false
1773243824000,38.58,21.13,false,false
1773243828000,38.58,21.13,true,false
1773243831000,26.64,23.80,false,false
1773243833000,26.64,23.80,true,false
1773243838000,14.60,18.47,false,false
1773243845000,14.60,13.45,false,false
1773243847000,0.00,13.45,true,false
1773243862000,6.43,12.45,false,false
1773243864000,6.43,12.45,true,false
1773243867000,7.99,11.64,false,false
1773243870000,7.99,11.64,true,false
1773243872000,13.40,11.14,false,false
1773243877000,22.02,11.24,false,false
1773243884000,9.44,10.37,false,false
1773243888000,9.44,10.37,true,false
1773243890000,0.00,10.37,true,false
1773243893000,0.00,10.37,true,false
1773243896000,0.00,10.37,true,false
1773243900000,0.00,10.37,true,false
1773243903000,0.00,8.75,false,false
1773243908000,3.56,8.91,false,false
